Gênero;Faixa Etária;Escolaridade;Você tem alguma familiaridade com computação gráfica (filmes, jogos, animações e etc);Q7. Você acha que ela está sentido algo mais ? Qual emoção?;Q8. Você acha que ela está sentido algo mais ? Qual emoção?;Q9. Você acha que ela está sentido algo mais ? Qual emoção?;Q10. Você acha que ela está sentido algo mais ? Qual emoção?;Q11. Você acha que ela está sentido algo mais ? Qual emoção?;Q12. Você acha que ela está sentido algo mais ? Qual emoção?;Q13. Você acha que ela está sentido algo mais ? Qual emoção?;Q14. Você acha que ela está sentido algo mais ? Qual emoção?;Q15. Você acha que ela está sentido algo mais ? Qual emoção?;Q16. Você acha que ela está sentido algo mais ? Qual emoção?;Q17. Você acha que ela está sentido algo mais ? Qual emoção?;Q18. Você acha que ela está sentido algo mais ? Qual emoção?;Q19. Você acha que ela está sentido algo mais ? Qual emoção?;Q20. Você acha que ela está sentido algo mais ? Qual emoção?;Q21. Você acha que ela está sentido algo mais ? Qual emoção?;Q22. Você acha que ela está sentido algo mais ? Qual emoção?;Q23. Você acha que ela está sentido algo mais ? Qual emoção?;Q24. Você acha que ela está sentido algo mais ? Qual emoção?;Q25. Você acha que ela está sentido algo mais ? Qual emoção?;Q26. Você acha que ela está sentido algo mais ? Qual emoção?
Masculino;18 até 20 anos;Superior Incompleto;Sim;Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Desgosto;Medo;Tristeza;Surpresa;Raiva;Desgosto;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Felicidade;Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que)
Masculino;21 até 29 anos;Superior Incompleto;Sim;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Raiva;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Eu não sei (eu percebi alguma coisa mas não sei o que);Nenhuma (não percebi nada a mais);Felicidade;Eu não sei (eu percebi alguma coisa mas não sei o que);Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Surpresa;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa
Masculino;18 até 20 anos;Ensino Médio Completo;Não;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Raiva;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Desgosto;Nenhuma (não percebi nada a mais);Surpresa;Eu não sei (eu percebi alguma coisa mas não sei o que);Felicidade;Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Desgosto;Surpresa;Desgosto;Eu não sei (eu percebi alguma coisa mas não sei o que)
Feminino;18 até 20 anos;Superior Incompleto;Não;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Surpresa;Nenhuma (não percebi nada a mais);Surpresa;Tristeza;Medo;Nenhuma (não percebi nada a mais);Surpresa;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Medo;Desgosto;Surpresa;Medo;Surpresa;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais)
Masculino;21 até 29 anos;Superior Incompleto;Sim;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Surpresa;Surpresa;Tristeza;Medo;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Desgosto;Desgosto;Desgosto;Surpresa;Surpresa;Surpresa;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Surpresa;Raiva;Desgosto
Masculino;18 até 20 anos;Ensino Médio Completo;Sim;Raiva;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Raiva;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Felicidade;Felicidade;Eu não sei (eu percebi alguma coisa mas não sei o que);Desgosto;Nenhuma (não percebi nada a mais);Desgosto;Surpresa;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Felicidade;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que)
Masculino;21 até 29 anos;Superior Incompleto;Não;Surpresa;Nenhuma (não percebi nada a mais);Medo;Medo;Nenhuma (não percebi nada a mais);Surpresa;Tristeza;Nenhuma (não percebi nada a mais);Surpresa;Felicidade;Nenhuma (não percebi nada a mais);Surpresa;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Surpresa;Nenhuma (não percebi nada a mais);Felicidade;Nenhuma (não percebi nada a mais)
Masculino;21 até 29 anos;Superior Completo;Não;Surpresa;Medo;Desgosto;Surpresa;Nenhuma (não percebi nada a mais);Desgosto;Surpresa;Felicidade;Felicidade;Surpresa;Nenhuma (não percebi nada a mais);Desgosto;Desgosto;Nenhuma (não percebi nada a mais);Surpresa;Surpresa;Medo;Surpresa;Nenhuma (não percebi nada a mais);Desgosto
Masculino;18 até 20 anos;Superior Incompleto;Sim;Surpresa;Medo;Tristeza;Desgosto;Medo;Raiva;Raiva;Raiva;Nenhuma (não percebi nada a mais);Felicidade;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Desgosto;Raiva;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Desgosto;Raiva;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais)
Feminino;50 até 59 anos;Ensino Médio Completo;Não;Surpresa;Medo;Desgosto;Medo;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Medo;Medo;Surpresa;Desgosto;Desgosto;Tristeza;Desgosto;Surpresa;Desgosto;Medo;Surpresa;Surpresa;Desgosto
Feminino;50 até 59 anos;Ensino Médio Completo;Não;Surpresa;Medo;Desgosto;Medo;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Medo;Medo;Surpresa;Desgosto;Desgosto;Tristeza;Desgosto;Surpresa;Desgosto;Medo;Surpresa;Surpresa;Desgosto
Feminino;50 até 59 anos;Ensino Médio Completo;Não;Surpresa;Medo;Desgosto;Medo;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Medo;Medo;Surpresa;Desgosto;Desgosto;Tristeza;Desgosto;Surpresa;Desgosto;Medo;Surpresa;Surpresa;Desgosto
Feminino;21 até 29 anos;Superior Incompleto;Sim;Surpresa;Nenhuma (não percebi nada a mais);Felicidade;Raiva;Raiva;Medo;Tristeza;Surpresa;Surpresa;Felicidade;Desgosto;Desgosto;Medo;Desgosto;Felicidade;Tristeza;Medo;Desgosto;Surpresa;Medo
Feminino;21 até 29 anos;Superior Incompleto;Sim;Surpresa;Desgosto;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Desgosto;Nenhuma (não percebi nada a mais);Medo;Nenhuma (não percebi nada a mais);Desgosto;Felicidade;Tristeza;Desgosto;Tristeza;Medo;Surpresa;Medo;Tristeza;Tristeza;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais)
Feminino;40 até 49 anos;Pós-Graduação Completa;Sim;Surpresa;Medo;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Eu não sei (eu percebi alguma coisa mas não sei o que);Tristeza;Eu não sei (eu percebi alguma coisa mas não sei o que);Felicidade;Felicidade;Surpresa;Medo;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Surpresa;Felicidade;Surpresa;Surpresa;Desgosto;Felicidade;Medo
Masculino;40 até 49 anos;Superior Completo;Sim;Surpresa;Surpresa;Medo;Desgosto;Medo;Nenhuma (não percebi nada a mais);Medo;Medo;Tristeza;Eu não sei (eu percebi alguma coisa mas não sei o que);Tristeza;Medo;Surpresa;Desgosto;Surpresa;Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que)
Feminino;21 até 29 anos;Superior Completo;Sim;Surpresa;Medo;Surpresa;Surpresa;Raiva;Eu não sei (eu percebi alguma coisa mas não sei o que);Desgosto;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Surpresa;Raiva;Desgosto;Desgosto;Surpresa;Felicidade;Tristeza;Tristeza;Tristeza;Nenhuma (não percebi nada a mais);Medo
Masculino;18 até 20 anos;Ensino Médio Completo;Sim;Surpresa;Nenhuma (não percebi nada a mais);Surpresa;Raiva;Desgosto;Raiva;Surpresa;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Surpresa;Nenhuma (não percebi nada a mais);Desgosto;Medo;Surpresa;Surpresa;Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais)
Feminino;18 até 20 anos;Superior Incompleto;Não;Surpresa;Medo;Medo;Surpresa;Felicidade;Eu não sei (eu percebi alguma coisa mas não sei o que);Raiva;Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Raiva;Raiva;Desgosto;Desgosto;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Tristeza;Tristeza;Surpresa;Raiva;Eu não sei (eu percebi alguma coisa mas não sei o que)
Feminino;21 até 29 anos;Ensino Médio Completo;Sim;Surpresa;Nenhuma (não percebi nada a mais);Desgosto;Medo;Desgosto;Desgosto;Desgosto;Felicidade;Surpresa;Nenhuma (não percebi nada a mais);Desgosto;Desgosto;Tristeza;Desgosto;Surpresa;Desgosto;Surpresa;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Tristeza
Feminino;18 até 20 anos;Superior Incompleto;Não;Surpresa;Nenhuma (não percebi nada a mais);Medo;Raiva;Felicidade;Medo;Raiva;Surpresa;Surpresa;Felicidade;Eu não sei (eu percebi alguma coisa mas não sei o que);Raiva;Medo;Desgosto;Felicidade;Tristeza;Medo;Raiva;Surpresa;Medo
Masculino;18 até 20 anos;Ensino Médio Completo;Não;Surpresa;Raiva;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Felicidade;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Felicidade;Eu não sei (eu percebi alguma coisa mas não sei o que);Nenhuma (não percebi nada a mais);Surpresa;Medo;Desgosto;Felicidade;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Surpresa;Nenhuma (não percebi nada a mais);Felicidade
Feminino;18 até 20 anos;Superior Incompleto;Não;Surpresa;Medo;Medo;Surpresa;Felicidade;Eu não sei (eu percebi alguma coisa mas não sei o que);Raiva;Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Raiva;Raiva;Desgosto;Desgosto;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Tristeza;Tristeza;Surpresa;Raiva;Eu não sei (eu percebi alguma coisa mas não sei o que)
Feminino;40 até 49 anos;Ensino Médio Completo;Não;Surpresa;Nenhuma (não percebi nada a mais);Desgosto;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Raiva;Nenhuma (não percebi nada a mais);Surpresa;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Raiva;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais)
Feminino;30 até 39 anos;Superior Completo;Não;Surpresa;Nenhuma (não percebi nada a mais);Medo;Desgosto;Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Raiva;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Desgosto;Nenhuma (não percebi nada a mais);Desgosto;Eu não sei (eu percebi alguma coisa mas não sei o que);Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Raiva;Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Eu não sei (eu percebi alguma coisa mas não sei o que);Nenhuma (não percebi nada a mais)
Masculino;50 até 59 anos;Pós-Graduação Completa;Não;Surpresa;Nenhuma (não percebi nada a mais);Desgosto;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Felicidade;Desgosto;Felicidade;Nenhuma (não percebi nada a mais);Surpresa;Tristeza;Nenhuma (não percebi nada a mais);Surpresa;Desgosto;Surpresa;Medo;Tristeza;Tristeza;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais)
Feminino;40 até 49 anos;Pós-Graduação Completa;Não;Surpresa;Medo;Tristeza;Desgosto;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Medo;Surpresa;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Desgosto;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Medo;Nenhuma (não percebi nada a mais);Medo;Nenhuma (não percebi nada a mais);Medo;Nenhuma (não percebi nada a mais)
Masculino;40 até 49 anos;Pós-Graduação Completa;Não;Surpresa;Nenhuma (não percebi nada a mais);Surpresa;Tristeza;Desgosto;Tristeza;Medo;Desgosto;Felicidade;Surpresa;Tristeza;Desgosto;Desgosto;Raiva;Desgosto;Raiva;Tristeza;Desgosto;Desgosto;Desgosto
Feminino;40 até 49 anos;Superior Completo;Sim;Surpresa;Nenhuma (não percebi nada a mais);Desgosto;Desgosto;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Tristeza;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Felicidade;Raiva;Nenhuma (não percebi nada a mais);Tristeza;Tristeza;Felicidade;Tristeza;Tristeza;Tristeza;Nenhuma (não percebi nada a mais);Surpresa
Feminino;50 até 59 anos;Pós-Graduação Completa;Sim;Surpresa;Nenhuma (não percebi nada a mais);Desgosto;Surpresa;Nenhuma (não percebi nada a mais);Tristeza;Tristeza;Nenhuma (não percebi nada a mais);Medo;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Tristeza;Nenhuma (não percebi nada a mais);Surpresa;Desgosto;Nenhuma (não percebi nada a mais);Desgosto;Nenhuma (não percebi nada a mais);Desgosto
Masculino;40 até 49 anos;Pós-Graduação Completa;Não;Surpresa;Nenhuma (não percebi nada a mais);Surpresa;Tristeza;Desgosto;Tristeza;Medo;Desgosto;Felicidade;Surpresa;Tristeza;Desgosto;Desgosto;Raiva;Desgosto;Raiva;Tristeza;Desgosto;Desgosto;Desgosto
Masculino;30 até 39 anos;Pós-Graduação Completa;Não;Surpresa;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Raiva;Nenhuma (não percebi nada a mais);Tristeza;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Desgosto;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Desgosto;Desgosto;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Desgosto
Masculino;21 até 29 anos;Superior Completo;Sim;Surpresa;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Tristeza;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Surpresa;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais)
Masculino;21 até 29 anos;Superior Incompleto;Sim;Surpresa;Felicidade;Medo;Desgosto;Raiva;Surpresa;Medo;Tristeza;Surpresa;Felicidade;Raiva;Desgosto;Desgosto;Desgosto;Surpresa;Tristeza;Surpresa;Felicidade;Nenhuma (não percebi nada a mais);Tristeza
Masculino;21 até 29 anos;Superior Incompleto;Sim;Surpresa;Eu não sei (eu percebi alguma coisa mas não sei o que);Felicidade;Raiva;Surpresa;Eu não sei (eu percebi alguma coisa mas não sei o que);Desgosto;Surpresa;Raiva;Surpresa;Tristeza;Surpresa;Surpresa;Surpresa;Surpresa;Raiva;Raiva;Tristeza;Raiva;Felicidade
Feminino;50 até 59 anos;Pós-Graduação Completa;Não;Surpresa;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Tristeza;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Medo;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais)
Masculino;21 até 29 anos;Superior Incompleto;Sim;Tristeza;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Raiva;Desgosto;Desgosto;Desgosto;Eu não sei (eu percebi alguma coisa mas não sei o que);Felicidade;Medo;Tristeza;Surpresa;Surpresa;Surpresa;Surpresa;Desgosto;Desgosto;Desgosto;Raiva;Felicidade
Masculino;21 até 29 anos;Superior Completo;Sim;Tristeza;Desgosto;Medo;Raiva;Desgosto;Raiva;Raiva;Medo;Nenhuma (não percebi nada a mais);Desgosto;Tristeza;Surpresa;Surpresa;Surpresa;Nenhuma (não percebi nada a mais);Raiva;Raiva;Felicidade;Raiva;Felicidade
Masculino;21 até 29 anos;Superior Completo;Não;Raiva;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Desgosto;Nenhuma (não percebi nada a mais);Medo;Surpresa;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Surpresa;Nenhuma (não percebi nada a mais);Surpresa;Surpresa;Desgosto;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Surpresa
Masculino;21 até 29 anos;Superior Completo;Não;Eu não sei (eu percebi alguma coisa mas não sei o que);Surpresa;Desgosto;Eu não sei (eu percebi alguma coisa mas não sei o que);Desgosto;Desgosto;Desgosto;Nenhuma (não percebi nada a mais);Nenhuma (não percebi nada a mais);Eu não sei (eu percebi alguma coisa mas não sei o que);Desgosto;Eu não sei (eu percebi alguma coisa mas não sei o que);Desgosto;Desgosto;Nenhuma (não percebi nada a mais);Surpresa;Surpresa;Eu não sei (eu percebi alguma coisa mas não sei o que);Nenhuma (não percebi nada a mais);Desgosto
Feminino;Acima de 60 anos;Pós-Graduação Completa;Sim;Felicidade;Felicidade;Desgosto;Desgosto;Desgosto;Desgosto;Surpresa;Tristeza;Desgosto;Surpresa;Tristeza;Tristeza;Desgosto;Tristeza;Surpresa;Tristeza;Tristeza;Tristeza;Raiva;Tristeza
Feminino;18 até 20 anos;Superior Incompleto;Sim;Felicidade;Desgosto;Nenhuma (não percebi nada a mais);Tristeza;Nenhuma (não percebi nada a mais);Desgosto;Desgosto;Felicidade;Felicidade;Desgosto;Raiva;Desgosto;Surpresa;Nenhuma (não percebi nada a mais);Surpresa;Medo;Surpresa;Raiva;Nenhuma (não percebi nada a mais);Surpresa
